,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
322,19,1,13.0,7.0,13.0,9.0,11.0,12.0,4.0,11.0,12.0,1.0,9.666666666666666,9.0,9.4,11.0,9.0,2019.5
323,19,1,13.0,10.0,12.0,8.0,12.0,12.0,7.0,9.0,10.0,1.0,10.0,10.333333333333334,9.6,9.0,10.333333333333334,2019.5
400,19,1,7.0,5.0,6.0,5.0,7.0,7.0,4.0,6.0,6.0,1.0,5.333333333333333,6.0,5.8,6.0,6.0,2019.0
401,19,1,54.0,39.0,51.0,41.0,45.0,51.0,28.0,38.0,37.0,0.0,43.666666666666664,41.333333333333336,40.6,38.0,41.333333333333336,2019.0
402,19,1,30.0,22.0,30.0,22.0,21.0,22.0,11.0,25.0,20.0,2.0,24.666666666666668,18.0,20.2,25.0,18.0,2019.0
403,19,1,25.0,20.0,20.0,18.0,22.0,21.0,9.0,19.0,17.0,1.0,19.333333333333332,17.333333333333332,17.8,19.0,17.333333333333332,2019.0
404,19,1,28.0,22.0,25.0,20.0,22.0,24.0,8.0,20.0,18.0,2.0,22.333333333333332,18.0,18.8,20.0,18.0,2019.0
405,19,1,26.0,16.0,23.0,18.0,18.0,25.0,5.0,16.0,15.0,2.0,19.0,16.0,16.4,16.0,16.0,2019.0
406,19,1,25.0,14.0,23.0,13.0,19.0,23.0,7.0,13.0,17.0,2.0,16.666666666666668,16.333333333333332,15.0,13.0,16.333333333333332,2019.0
407,19,1,27.0,26.0,26.0,25.0,25.0,21.0,12.0,19.0,24.0,1.0,25.666666666666668,19.333333333333332,20.4,19.0,19.333333333333332,2019.0
408,19,1,17.0,11.0,16.0,10.0,14.0,10.0,6.0,14.0,9.0,1.0,12.333333333333334,10.0,10.8,14.0,10.0,2019.0
409,19,1,14.0,7.0,12.0,8.0,10.0,13.0,8.0,11.0,9.0,1.0,9.0,10.333333333333334,10.0,11.0,10.333333333333334,2019.0
410,19,1,15.0,11.0,14.0,10.0,12.0,13.0,3.0,9.0,9.0,1.0,11.666666666666666,9.333333333333334,9.4,9.0,9.333333333333334,2019.0
455,18,1,27.0,24.0,23.0,21.0,20.0,23.0,12.0,23.0,23.0,1.0,22.666666666666668,18.333333333333332,19.8,23.0,18.333333333333332,2018.5
458,18,1,31.0,23.0,29.0,21.0,28.0,28.0,14.0,25.0,21.0,0.0,24.333333333333332,23.333333333333332,23.2,25.0,23.333333333333332,2018.5
459,18,1,13.0,10.0,10.0,9.0,11.0,12.0,4.0,8.0,8.0,0.0,9.666666666666666,9.0,8.8,8.0,9.0,2018.5
460,18,1,28.0,26.0,25.0,16.0,22.0,25.0,10.0,22.0,23.0,2.0,22.333333333333332,19.0,19.0,22.0,19.0,2018.5
461,18,1,31.0,21.0,27.0,21.0,23.0,29.0,8.0,23.0,21.0,2.0,23.0,20.0,20.8,23.0,20.0,2018.5
462,18,1,26.0,19.0,19.0,18.0,19.0,22.0,7.0,18.0,14.0,1.0,18.666666666666668,16.0,16.8,18.0,16.0,2018.5
463,18,1,25.0,23.0,25.0,17.0,20.0,19.0,10.0,16.0,16.0,1.0,21.666666666666668,16.333333333333332,16.4,16.0,16.333333333333332,2018.5
464,18,1,27.0,21.0,24.0,15.0,22.0,25.0,10.0,22.0,17.0,2.0,20.0,19.0,18.8,22.0,19.0,2018.5
465,18,1,27.0,22.0,24.0,18.0,22.0,25.0,7.0,20.0,19.0,2.0,21.333333333333332,18.0,18.4,20.0,18.0,2018.5
466,18,1,11.0,7.0,8.0,7.0,7.0,9.0,3.0,9.0,5.0,2.0,7.333333333333333,6.333333333333333,7.0,9.0,6.333333333333333,2018.5
467,18,1,24.0,20.0,20.0,21.0,23.0,23.0,17.0,24.0,20.0,1.0,20.333333333333332,21.0,21.6,24.0,21.0,2018.5
468,18,1,29.0,23.0,25.0,20.0,27.0,28.0,11.0,26.0,22.0,1.0,22.666666666666668,22.0,22.4,26.0,22.0,2018.5
469,18,1,14.0,7.0,13.0,5.0,7.0,11.0,7.0,10.0,6.0,1.0,8.333333333333334,8.333333333333334,8.0,10.0,8.333333333333334,2018.5
470,18,1,13.0,11.0,11.0,6.0,9.0,11.0,3.0,7.0,6.0,1.0,9.333333333333334,7.666666666666667,7.2,7.0,7.666666666666667,2018.5
16,23,2,32.0,29.0,24.0,29.0,30.0,15.0,21.0,29.0,23.0,0.0,28.0,22.0,21.0,29.0,18.0,2023.0
17,23,2,25.0,24.0,19.0,22.0,19.0,14.0,15.0,16.0,16.0,0.0,21.0,16.0,15.0,16.0,14.5,2023.0
18,23,2,25.0,18.0,17.0,23.0,22.0,17.0,16.0,25.0,20.0,1.0,20.0,18.333333333333332,16.0,25.0,16.5,2023.0
19,23,2,26.0,21.0,11.0,22.0,17.0,14.0,8.0,17.0,15.0,1.0,17.75,13.0,8.0,17.0,11.0,2023.0
20,23,2,11.0,9.0,7.0,11.0,7.0,3.0,7.0,10.0,7.0,1.0,8.5,5.666666666666667,7.0,10.0,5.0,2023.0
