Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
SP,22,21,5,9,7,3,8,8,8,7,7,6
SP,22,21,5,18,17,9,17,16,10,8,10,11
SP,22,21,5,10,7,7,10,10,8,7,8,9
SP,22,21,5,10,10,2,9,9,6,6,6,6
SP,22,21,5,,,,,,,,,
SP,22,21,5,21,18,14,16,15,14,8,11,11
SP,22,21,5,13,12,5,12,11,7,9,8,10
SP,22,22,5,22,18,13,17,18,11,13,13,12
SP,22,22,5,22,21,18,22,22,19,16,16,19
SP,22,22,5,30,24,19,26,28,19,20,13,18
SP,22,21,5,7,6,6,6,6,6,5,6,6
SP,22,22,5,,,,,,,,,
SP,22,48,5,19,15,12,17,17,10,13,15,15
SP,22,21,5,8,8,3,8,7,5,7,5,4
FA,21,0,1,68,51,64,56,56,63,46,51,50
FA,21,0,1,42,28,35,30,35,40,25,34,32
FA,21,0,1,18,13,18,16,14,14,10,9,12
FA,21,0,1,22,17,16,18,20,19,4,12,13
FA,21,0,1,18,15,15,11,15,16,9,14,14
FA,21,41,1,14,10,13,7,12,13,4,11,11
FA,21,41,1,11,9,11,8,9,11,5,8,8
FA,21,41,1,8,3,6,8,8,8,6,8,8
FA,21,42,1,29,24,26,21,20,28,10,17,24
FA,21,42,1,25,12,22,17,19,22,5,21,14
FA,21,42,1,10,3,10,7,8,7,5,8,7
FA,21,41,1,10,6,9,5,8,9,2,6,4
FA,21,41,1,11,10,10,9,11,10,6,11,11
FA,21,0,2,68,61,51,56,54,30,31,52,48
FA,21,0,2,42,33,21,28,34,12,28,28,23
FA,21,0,2,18,15,9,11,14,6,5,12,11
FA,21,0,2,22,18,14,18,16,12,11,15,13
FA,21,0,2,18,14,12,12,14,9,4,12,8
FA,21,41,2,14,12,8,11,12,7,5,11,9
FA,21,41,2,11,10,9,8,9,7,6,8,7
FA,21,41,2,8,7,5,6,4,2,4,8,3
FA,21,42,2,29,21,17,25,24,15,5,15,19
FA,21,42,2,25,19,13,19,15,10,5,17,10
FA,21,42,2,10,8,6,7,7,6,3,7,4
FA,21,41,2,10,9,5,6,7,4,6,4,4
FA,21,41,2,11,8,9,11,10,3,5,8,7
FA,21,0,3,68,40,58,37,39,29,44,56,37
FA,21,0,3,42,25,40,27,29,26,22,23,19
FA,21,0,3,18,10,15,7,7,11,7,10,13
FA,21,0,3,22,18,12,14,17,16,15,18,16
FA,21,0,3,18,14,15,5,9,12,7,14,10
FA,21,41,3,14,10,10,5,12,8,6,9,7
FA,21,41,3,11,7,10,6,8,6,6,9,8
FA,21,41,3,8,6,6,6,7,2,4,5,5
FA,21,42,3,29,21,22,13,18,18,12,16,20
FA,21,42,3,25,17,17,7,18,15,16,19,12
FA,21,42,3,10,7,9,3,10,7,5,7,6
FA,21,41,3,10,5,10,5,7,4,5,6,5
FA,21,41,3,11,3,9,5,9,7,8,10,7
FA,21,0,4,68,55,58,53,57,24,48,55,51
FA,21,0,4,42,35,16,33,35,32,29,29,28
FA,21,0,4,18,11,5,13,13,5,10,5,7
FA,21,0,4,22,14,13,16,20,7,8,14,9
FA,21,0,4,18,17,5,17,15,8,10,9,9
FA,21,41,4,14,13,5,13,12,8,7,11,8
